movie_title,genres,director_name,actor_1,actor_2,actor_3
Aadhi Raat,"Drama, Romance",S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadhi Raat,Horror,Hriday Shankar,Manoj Bakshi,Satyendra Kapoor,Satnam Kaur
Aadhi Roti,Drama,Chandrakant,Prem Adib,Master Bhagwan,Daisy Irani
Aadhi Zindagi Aadhi Maut,Thriller,V. Menon,Aparajita,Abhi Bhattacharya,Sargam
Aadi Shakti,Action,Govind Singh,Raza Murad,Yunus Parvez,
Aadmi,"Drama, Romance",A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,"Action, Crime, Drama",Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,Fantasy,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Aurat,Thriller,Alka Kubal,Raza Murad,Ramanna,
Aadmi Aur Insaan,"Drama, Romance, Thriller",Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,"Drama, Romance",J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,Drama,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,"Drama, Family",Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,Horror,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,"Crime, Drama",Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aafat-e-Ishq,"Comedy, Thriller",Indrajit Nattoji,Amit Sial,Neha Sharma,Garima Jain
Aafreen,Romance,Manjeet Rai,Chitransh Raaj,Prishita Tiwari,Sapna Shetty
Aag,"Musical, Romance",Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag,"Action, Drama",Naresh Kumar,Feroz Khan,Mumtaz,Achala Sachdev
Aag,"Action, Comedy, Drama",K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
Aag Andhi Aur Toofan,"Action, Thriller",Kanti Shah,Amit Dhamija,Mukesh Khanna,Kiran Kumar
Aag aur Angaray,Action,Vikaram Naroo,Rakesh Bedi,Birbal,Gulshan Grover
Aag Aur Chingari,Action,Kanti Shah,Alpana,Aparajita,Asrani
Aag Aur Daag,"Action, Comedy, Drama",A. Salaam,Joy Mukherjee,Poonam Sinha,Master Bhagwan
Aag Aur Shabab,Thriller,Ravi Kumar,Madhuri,Captain Raju,
Aag Aur Shola,"Action, Drama, Romance",K. Bapaiah,Jeetendra,Sridevi,Mandakini
Aag Aur Shola,Action,Ravi Raja Pinisetty,Kiran Rathod,Flora Saini,Raj Shekhar
Aag Aur Tezaab,Action,Israr Ahmed,Jagdish Sidana,Satish Kaul,Kader Khan
Aag Aur Toofan,"Action, Drama, Thriller",Tanvir Ahmed,Mumtaz,Robin Kumar,Anwar Hussain
Aag Hi Aag,Action,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Dariya,Action,S.V. Rajendra Singh Babu,Avtar Gill,Rajiv Kapoor,Padmini Kolhapure
Aag Ka Dariya,"Drama, Family",Roop K. Shorey,Meena Shorey,Karan Dewan,Prithviraj Kapoor
Aag Ka Gola,"Action, Drama",David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Gola,Action,Kishan Shah,Junior Amitabh Bachchan,Junior Mithun Chakraborthy,Junior Sanjay Dutt
Aag Ka Prem Yudh,Action,Thriller Manju,Rachana Maurya,Sanghavi,Upendra
Aag Ka Toofaan,Action,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,"Action, Thriller",S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Ke Sholay,Action,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
Aag Laga Do Sawan Ko,"Drama, Romance",Anup Malik,Reema Lagoo,Kuldeep Mallik,Harish Patel
Aag Lagi Barsat Mein,Thriller,Charanya,Y.G. Mahendran,Silk Smitha,
Aag Se Khelenge,Action,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aagaah: The Warning,"Drama, Horror, Thriller",Karan Razdan,Ila Arun,Anang Desai,Zakir Hussain
Aage Badho,Drama,Yeshwant Pethkar,Dev Anand,Madhu Apte,Khurshid Begum
Aage Badho,Romance,I.S. Johar,Dilip Dutt,Ambika Johar,Rajeev Kumar
Aage Kadam,,N.R. Acharya,Anjali Devi,Mubarak,Motilal
Aage Ki Soch,Comedy,Dada Kondke,Shakti Kapoor,Huma Khan,Dada Kondke
Aage Maut Peeche Maut,Horror,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aage Mod Hai,,Ajit,Raja Bundela,Uday Chandra,Geeta Khanna
Aagey Se Right,"Comedy, Crime, Drama",Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaat,Action,Vijay Borade,Zaffar Abbas,Mohnish Bahl,Meena Bisht
Aaghaaz,"Action, Crime, Drama",Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aaghosh,"Drama, Romance",R.D. Mathur,Agha,Nasir Khan,Leela Mishra
Aagman,Drama,Muzaffar Ali,Masood Akhtar,Bharat Bhushan,Rajina Raj Bisaria
Aah,"Drama, Musical, Romance",Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Aahat - Ek Ajeeb Kahani,Thriller,Kishore Rege,Jaya Bachchan,Ramesh Deo,Dharmendra
Aah-E-Mazluman,,N.G. Bulchandani,Abdul Rehman Kabuli,,
Aahuti,,Kulbhushan,Cuckoo,Indubala,Vikram Kapoor
Aahuti,"Action, Drama",Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aahuti,Drama,Rajendra Bhatia,Arun Bali,,
Aahvaan,"Comedy, Horror",Amrit Raj Thakur,Dev Vart Singh,Arya Chaturvedi,Muskaan Sinha
Aahwan,Action,,,,
Aai Bahar,,,,,
Aai Phirse Bahar,,A. Bhimsingh,Padmini,Shivaji Ganesan,Rajasulochana
Aaina,"Drama, Romance",Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
Aaina,Drama,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
Aaina,"Drama, Romance",S.M. Yusuf,Husn Banu,Sulochana Chatterjee,Gope
Aaina,Horror,Raja Bhargav,Komal Bharti,Urmila Chandolia,Ankit Jha
Aaiyash: The Desire,"Drama, Romance",Sandeep Kumar,Akansha,Rakhi Bajaj,Amit Dhamija
Aaj,Drama,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
