movie_title,genres,director_name,actor_1,actor_2,actor_3
Roam Rome Mein,Drama,Tannishtha Chatterjee,Nawazuddin Siddiqui,Tannishtha Chatterjee,Valentina Corti
Roar: Tigers of the Sundarbans,"Action, Adventure, Sci-Fi",Kamal Sadanah,Aadil Chahal,Ahran Chaudhary,Pranay Dixit
Robinhood Ke Pote,Drama,Lucky Hansraj,Pradeep Singrole,Rajat Barmecha,Anshuman Jha
Rock Dancer,"Crime, Drama, Musical",V. Menon,Kamal Sadanah,Ritu Shivpuri,Ronit Roy
Rock on 2,"Drama, Music",Shujaat Saudagar,Farhan Akhtar,Shraddha Kapoor,Arjun Rampal
Rock On!!,"Drama, Music",Abhishek Kapoor,Arjun Rampal,Farhan Akhtar,Luke Kenny
Rock the Shaadi,"Comedy, Horror",Navdeep Singh,Genelia D'Souza,Abhay Deol,Kushal Punjabi
Rocket Girl,"Drama, Fantasy, Sci-Fi",Nanabhai Bhatt,Master Bhagwan,Sudesh Kumar,Nilofer
Rocket Singh: Salesman of the Year,"Comedy, Drama",Shimit Amin,Ranbir Kapoor,Prem Chopra,Mukesh S. Bhatt
Rocket Tarzan,"Action, Sci-Fi",Shree Bhagwan,Shakeela Bano Bhopali,Dalpat,Ranjan Kapoor
Rocketry: The Nambi Effect,"Biography, Drama",Madhavan,Madhavan,Bhawsheel Sahni,Arnaud Humbert
Rockford,"Comedy, Drama",Nagesh Kukunoor,Rohan Dey,Jayant Kripalani,Nandita Das
Rockstar,"Drama, Music, Romance",Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor
Rocky,"Action, Romance",Sunil Dutt,Sanjay Dutt,Reena Roy,Tina Ambani
Rocky,"Action, Drama, Romance",Suresh Krishna,Zayed Khan,Isha Sharvani,Minissha Lamba
Rocky Handsome,"Action, Crime, Drama",Nishikant Kamat,John Abraham,Nishikant Kamat,Sharad Kelkar
Rocky Mera Naam,Action,Satram Rohera,Sanjeev Kumar,Nivedita,Bela Bose
Rocky the Slave,Action,James John,Dalip Tahil,Jackie Shroff,Gavin Packard
Rog,"Mystery, Romance, Thriller",Himanshu Brahmbhatt,Irrfan Khan,Ilene Hamann,Himanshu Malik
Rok Sako To Rok Lo,"Adventure, Musical, Romance",Arindam Chaudhuri,Sunny Deol,Yash Pandit,Manjari Fadnnis
Rokkk,"Drama, Horror, Mystery",Rajesh Ranshinge,Tanushree Dutta,Udita Goswami,Shaad Randhawa
Roll Sound Camera Action: RSCA,Drama,Jayesh Sheth,Yash Eshawari,Bobby Kumar,Manish Mehta
Rolling in Money,Comedy,Kawal Sharma,Naseeruddin Shah,Poonam Dhillon,Mandakini
Romance,Romance,Ramanand Sagar,Shammi Kapoor,Kumar Gaurav,Poonam Dhillon
Romancebaazi,Drama,Sunny Solanki,Mukesh Aahuja,Ashish Kadian,Javed Rizvi
Romantic India,,Mohan Sinha,Nurjahan,Radharani,Snehalata
Romeo Akbar Walter,"Action, Drama, Thriller",Robbie Grewal,John Abraham,Jackie Shroff,Mouni Roy
Romeo Idiot Desi Juliet,Comedy,Ajay Lohan,Sandeep Bharadwaj,Brijendra Kala,Neelu Kohli
Romeo in Sikkim,Romance,Harikrishna Kaul,Rajan Haksar,Seema Kapoor,Amina Karim
Romeo N Bullet,Drama,Aditya Kumar,Vije Bhatia,RajKumar,
Romi the Hero,Drama,Santosh Gupta,Gullu Dada,Mudassir Khan,Shehbaaz Khan
Ronaq,,Dwarka Khosla,Chandraprabha,Noor Mohammad Charlie,Chandra Mohan
Rooh,Horror,Sanjay Khandelwal,Kumaar Aadarsh,Sudesh Berry,Sana Govil
ROOH - Ghost Story,Horror,,,,
Roohani,"Comedy, Horror",Deepak Saraswat,Sunil Pal,Ehsaan Qureshi,
Roohani Taaqat,Horror,Mohan Bhakri,Shagufta Ali,Ratan Aulakh,Rana Jung Bahadur
Roohi,"Comedy, Horror",Hardik Mehta,Rajkummar Rao,Varun Sharma,Janhvi Kapoor
Roohi,"Action, Drama, Romance",S.U. Syed,Zarina Wahab,Mazhar Khan,Asif Akbar
Room No. 203,Mystery,Parikshit Sahni,Bindu,Shyamalee,Jagdeep
Room No. 9,Drama,Vedi,Geeta Nizami,Shyam,K.N. Singh
Room No.17,Thriller,R.D. Rajput,Chitra,Daljeet,Radhika
Room: The Mystery,Thriller,Faisal Khan,Atif Jamil,Ibra Khan,Roselyn Dsouza
Roomal,,Ramchandra Thakur,Nargis,Rehman,Paidi Jairaj
Roop Basant,,Anand Prasad Kapoor,Sardar Akhtar,Ashraf Khan,Yakbal
Roop Basant,Fantasy,A.M. Khan,Chitra,Daljeet,Kamran
Roop Basant,Fantasy,Amulakh Desai,Amirbai Karnataki,Prakash,Rafiq
Roop Ki Rani Choron Ka Raja,Romance,Harnam Singh Rawail,Dev Anand,Waheeda Rehman,Hiralal
Roop Ki Rani Choron Ka Raja,"Action, Drama, Musical",Satish Kaushik,Anil Kapoor,Sridevi,Anupam Kher
Roop Kumari,,J.J. Madan,Akhtari,Laxmi,Mohan
Roop Kumari,Romance,Manibhai Vyas,Mahipal,Shakila,Chandrashekhar
Roop Lekha,"Comedy, Musical",Mohammed Hussain,Master Bhagwan,Sudha,Shyama
Roop Nagar,,K. Amarnath,Jayant,,
Roop Rekha,,Samar Ghosh,Veena Kohli,Rehan,Smriti Biswas
Roop Rupaiya,,P.L. Santoshi,Jagdeep,Jaya Mala,
Roop Sundari,,Chandrakant,Bela Bose,Laxmi Chhaya,Anita Guha
Roop Tera Mastana,"Romance, Thriller",Khalid Akhtar,Jeetendra,Mumtaz,I.S. Johar
Rooplekha,,Mohammed Hussain,Mahipal,Raj Adeeb,Nazir Kashmiri
Rootha Na Karo,"Drama, Comedy, Family",Sunder Dar,Shashi Kapoor,Nanda,Kumari Naaz
Roots,,Shweta Basu Prasad,A.R. Rahman,,
Rose Thorn,Thriller,Sheetal,Paul Betts,Bob Christo,Steve Edwards
Roshan Ara,,G.R. Sethi,Ghaznavi,Rafiq Ghaznavi,Haider Shah
Roshni,Documentary,Bhimsain,,,
Roshni,"Documentary, Family",Anshul Adhikari,Nazneen Bhatia,Roshni,Vandana Shiva
Roshni,Drama,Karan Razdan,Gulshan Grover,Bikram Saluja,Kashmira Shah
Roshni,,,,,
Roshni aur Andhera,Thriller,Shivaram,Jayshree T.,,
Rosie: The Saffron Chapter,"Horror, Thriller",Vishal Mishra,Mallika Sherawat,Vivek Oberoi,Arbaaz Khan
Rosy,Thriller,Sonali Goswami,Dinesh Hingoo,Mohan Joshi,Abu Khan
Roti,"Drama, Romance, Thriller",Manmohan Desai,Rajesh Khanna,Mumtaz,Nirupa Roy
Roti,Drama,Mehboob Khan,Chandra Mohan,Sheikh Mukhtar,Sitara Devi
Roti,Drama,Krishan Kumar,,,
Roti Kapada Aur Makaan,"Action, Drama, Musical",Manoj Kumar,Manoj Kumar,Shashi Kapoor,Zeenat Aman
Roti Kee Keemat,"Action, Crime, Drama",Ramesh Ahuja,Somesh Agarwal,Sadashiv Amrapurkar,Rana Jung Bahadur
Rough Book,Drama,Ananth Narayan Mahadevan,Tannishtha Chatterjee,Mukesh Hariawala,Amaan f Khan
Rowdy Cheetah,Action,Krishna Vamsi,Mahesh Babu,Sonali Bendre,Prakash Raj
Rowdy Inspector,"Action, Drama",Gopal B.,Nandamuri Balakrishna,Annapoorna,Brahmanandam
Rowdy Lafange,Romance,Nihal Khan,Chetan Anand,Sandeep Pal,Sofiya
Rowdy Rathore,"Action, Comedy, Crime",Prabhu Deva,Akshay Kumar,Sonakshi Sinha,Nassar
Roy,"Action, Drama, Mystery",Vikramjit Singh,Arjun Rampal,Jacqueline Fernandez,Ranbir Kapoor
Royal Commander,Action,Udwadia,Gulab,Nurjahan,Anil Kumar
Royal Mail,Action,B.J. Patel,Mahesh Kumar,Ambika,Ranjan Kapoor
Royal Utsav,Action,Ravi Pathak,Charu Arora,Sudesh Berry,Tripta Chopra
RRR,"Action, Drama",S.S. Rajamouli,N.T. Rama Rao Jr.,Ram Charan,Ajay Devgn
Ru-Ba-Ru,"Drama, Romance, Thriller",Arjun Bali,Randeep Hooda,Shahana Goswami,Rati Agnihotri
Rudaali,Drama,Kalpana Lajmi,Rakhee Gulzar,Dimple Kapadia,Raj Babbar
Rudali,Drama,Suman Mukhopadhyay,Usha Ganguli,Kalpana Thakur Jha,Senjuti Mukherjee
Rudra,,K.S.R. Das,T.N. Balakrishna,Vishnuvardhan,K.S. Ashwath
Rudra Gadh @6km,Horror,Arjun Rao,Rajesh Bonik,Raaj Seth,Raja Murad
Rudraksh,"Action, Fantasy, Sci-Fi",Mani Shankar,Sanjay Dutt,Bipasha Basu,Sunil Shetty
Rudranetra,"Action, Crime, Thriller",K. Raghavendra Rao,Chiranjeevi,Brahmanandam,Nuthan Prasad
Rui Ka Bojh,Drama,Subhash Agrawal,Pankaj Kapur,Reema Lagoo,Raghuvir Yadav
Rukh,"Drama, Mystery",Atanu Mukherjee,Manoj Bajpayee,Smita Tambe,Adarsh Gourav
Rukhsana,"Action, Adventure, Drama",R.C. Talwar,Amar,Kishore Kumar,Meena Kumari
Rukhsar,Drama,Ashish Nehra,Ronit Agrawal,Mohan Kant,Geeta Saroha
Rukhsat,Romance,Simi Garewal,Mithun Chakraborty,Simi Garewal,Marc Zuber
Rukke Padge,Comedy,Ashoak C. Tyagi,Gaurav Prateek,Rajendra Gupta,Khayali Saharan
Rukmavati Ki Haveli,Drama,Govind Nihalani,Ila Arun,Uttara Baokar,Jyoti Subash Chandra
Rukmini Swayamvar,,Baburao Painter,Ratnamala,Chandrakant,Durga Khote
Rules: Pyaar Ka Superhit Formula,"Comedy, Romance",Parvati Balagopalan,Tanuja,Milind Soman,Meera Vasudevan
Run,"Action, Comedy, Drama",Jeeva,Abhishek Bachchan,Bhoomika Chawla,Mahesh Manjrekar
Run Bhola Run,Comedy,Neeraj Vora,Rahul Dev,Govinda,Celina Jaitly
Run Bhuumi - Champs Don't Cry,Family,Prashant Singh Rathore,Himani Attri,Mansoob Haider,Hema Singh
Run Zindagi Run,"Action, Crime, Thriller",Dinesh Parihar,Nitesh Shrivastava,Nidhi Shrivastava,Lokesh Gorker
Rungoli,"Musical, Drama, Family",Amar Kumar,Kishore Kumar,Vyjayanthimala,Jeevan
Running Shaadi,"Comedy, Romance",Amit Roy,Arsh Bajwa,Taapsee Pannu,Richa Meena
Runway: Love Among Gun Shots...,"Action, Crime, Drama",Praful Tiwari,Sunil Tiwari,Amarjeet,Tulip Joshi
Rupa Rani Ramkali,Action,K.I. Sheikh,Sadashiv Amrapurkar,Gajendra Chauhan,Mohan Joshi
Rupaiya,Drama,G.P. Pawar,Manmohan Krishna,Mirajkar,Kumari Naaz
Rupa's Boutique,Documentary,Glória Halász,,,
Rupaye Dus Karod,"Action, Drama, Thriller",Sikander Bharti,Rajesh Khanna,Chunky Panday,Amrita Singh
Rush,"Crime, Thriller",Shamin Desai,Emraan Hashmi,Sagarika Ghatge,Neha Dhupia
Ruslaan,Drama,Mohan Sharma,Asrani,Megha Chatterjee,Raymond D'Souza
Rustom,Drama,Dara Singh,Dara Singh,Tanuja,Sohrab Modi
Rustom,"Crime, Drama, Thriller",Dharmendra Suresh Desai,Manoj Bajpayee,Akshay Kumar,Sharad Kelkar
Rustom Kaun,"Action, Adventure",Dharam Kumar,Randhawa,Malika,Tiger Joginder
Rustom Sohrab,"Action, Adventure, Drama",Vishram Bedekar,Prithviraj Kapoor,Suraiya,Prem Nath
Rustom-E-Baghdad,"Action, Adventure",B.J. Patel,Dara Singh,Chandrashekhar,Vijaya Choudhury
Rustom-E-Hind,,Kedar Kapoor,Mumtaz,Dara Singh,Bihari
Rustom-E-Rome,"Action, Adventure, Drama",Radhakant,Dara Singh,Azaad Irani,Vijaya Choudhury
Rusvai,Musical,Rajat Rakshit,Sanjeev Kumar,Raj Babbar,Moushumi Chatterjee
Rut Rangeeli Ayee,"Action, Crime, Drama",M.M. Pushkaran,Bari,Bharat Bhushan,Brahmachari
S P Teja,Action,Sri Ram Kumar,Sri Ram Kumar,Kushboo,Jaya Prada
S the Film,Horror,Devang Dholakia,,,
S. P. Parasuram,"Action, Drama",Ravi Raja Pinisetty,Chiranjeevi,Sridevi,Harish
S.O.S Jasoos 007,Thriller,Dhumal,Dinesh Hingoo,Shyam Irani,Prem Kumar
S.P. Chauhan,Drama,Manoj K. Jha,Jimmy Sheirgill,Yuvika Chaudhary,Yashpal Sharma
S.R.K.,Comedy,Ajoy Varma,Manoj Joshi,Vinay Pathak,Dilip Prabhavalkar
Saadgi,Family,Dinesh Chaudhary,Monu Dhankad,Uttar Kumar,
Saagar,"Drama, Romance",Ramesh Sippy,Rishi Kapoor,Kamal Haasan,Dimple Kapadia
Saagar,Romance,Paidi Jairaj,Bharat Bhushan,Nargis,K.N. Singh
Saagari,Romance,,,,
Saahas,Thriller,,,,
Saaheb,Drama,Anil Ganguly,Rakhee Gulzar,Anil Kapoor,Amrita Singh
Saahil,Drama,,,,
Saajan,"Drama, Musical, Romance",Lawrence D'Souza,Sanjay Dutt,Madhuri Dixit,Salman Khan
Saajan,Romance,Kishore Sahu,Ashok Kumar,Rehana,Leela Mishra
Saajan Bina Suhagan,"Crime, Drama, Family",Saawan Kumar Tak,Nutan,Vinod Mehra,Shreeram Lagoo
Saajan Chale Sasural,"Comedy, Drama",David Dhawan,Govinda,Karisma Kapoor,Tabu
Saajan Ka Ghar,Drama,Surendra Kumar Bohra,Rishi Kapoor,Juhi Chawla,Deepak Tijori
Saajan Ke Liye,Romance,,,,
Saajan Ki Baahon Mein,"Drama, Family, Romance",Jayprakkash Shaw,Rishi Kapoor,Raveena Tandon,Sumeet Saigal
Saajan Ki Saheli,"Family, Drama",Saawan Kumar Tak,Nutan,Rajendra Kumar,Rekha
Saajan Mera Chor Hain,Drama,,,,
Saajan Mere Main Saajan Ki,"Drama, Romance",Hiren Nag,Raj Babbar,Kaajal Kiran,Raj Kiran
Saajna,"Musical, Romance",Rishikesh Pandey,,,
"Saako-363, Amrita Ki Khejadi","Adventure, Drama, History",Kalyan Seervi,Sneha Ullal,Milind Gunaji,Brij Gopal
Saala Khadoos,"Action, Drama, Sport",Sudha Kongara,Madhavan,Nassar,Radha Ravi
Saali Poori Gharwali,Thriller,Dolly Bindra,Jay Devi,Mahesh Kawal,Yogendra Konkar
Saaligirah,Romance,,,,
Saami Potta Mudhichhu,,R. Sundarajan,Thalapathi Dinesh,Murali,Disco Shanti
Saamri,Horror,Gajendra Chauhan,Junior Govinda,Sohail Khan,Jyoti Rana
Saanch Ko Aanch Nahin,"Drama, Family",Satyen Bose,Arun Govil,Madhu Kapoor,Sunder
Saand Ki Aankh,"Biography, Drama",Tushar Hiranandani,Taapsee Pannu,Bhumi Pednekar,Prakash Jha
Saanjh,"Drama, Family",Ajay K Saklani,Asif Basra,Tanu Bhardwaj,Aditi Charak
Saanncha,Drama,Aloknath Dixit,Sudha Chandran,Amin Gazi,Archanna Guptaa
Saansein: The Last Breath,"Horror, Romance",Rajiv S. Ruia,Sonarika Bhadoria,Aamir Dalvi,Rajniesh Duggall
Saaransh,Drama,Mahesh Bhatt,Rohini Hattangadi,Anupam Kher,Soni Razdan
Saare Jahaan Se Mehnga...,"Comedy, Drama",Anshul Sharma,Annapoorna,V.M. Badola,Rampal Barsewal
Saari Raat,Drama,Aparna Sen,Ritwick Chakraborty,Anjan Dutt,Konkona Sen Sharma
Saas Bahu Aur Sensex,"Comedy, Drama",Shona Urvashi,Kirron Kher,Farooq Shaikh,Ankur Khanna
Saas Bhi Kabhi Bahu Thi,"Comedy, Drama",V. Madhusudan Rao,Sanjay Khan,Leena Chandavarkar,Jagdeep
Saat Hindustani,"Action, Adventure, Drama",Khwaja Ahmad Abbas,Utpal Dutt,Jalal Agha,Anwar Ali
Saat Ladkiyan,Drama,Kishan Shetty,Sona Mastan Mirza,Rajan Sippy,Tariq
Saat Rang Ke Sapne,"Drama, Romance",Priyadarshan,Arvind Swamy,Juhi Chawla,Farida Jalal
Saat Saheliyan,Comedy,Narendra Bedi,Divyaa Dwivedi,Pramod Jaiswal,Raaj Malhotra
Saat Saheliyan,"Action, Comedy, Drama",Rajkumar R. Pandey,Rani Chatterjee,Rinku Ghosh,Pakhi Hegde
Saat Samundar Paar,"Action, Adventure, Drama",Mohammed Hussain,Dara Singh,Ameeta,Shyam Kumar
Saat Samundaron Ki Mallika,,Dhirubhai Desai,Nayantara,Mumtaz,
Saat Sawal Yane Haatim Tai,"Action, Adventure, Drama",Babubhai Mistry,Naval Kumar,Heena Kumari,Sujata
Saat Uchakkey,Comedy,Sanjeev Sharma,Manoj Bajpayee,Vijay Raaz,Aditi Sharma
Saath Saath,Drama,Raman Kumar,Deepti Naval,Farooq Shaikh,Satish Shah
Saathi,"Drama, Romance",C.V. Sridhar,Vyjayanthimala,Rajendra Kumar,Simi Garewal
Saathi,,Parshwanath Yeshwant Altekar,Durga Khote,Mubarak,
Saathi,"Action, Crime, Drama",Mahesh Bhatt,Aditya Pancholi,Mohsin Khan,Varsha Usgaonkar
Saathi,,M. Sadiq,Mehtab,,
Saathi: The Companion,Romance,Faaiz Anwar,Rupa Dutta,Divij Kak,Aanchal Anand
Saathiya,"Drama, Family, Romance",Shaad Ali,Vivek Oberoi,Rani Mukerji,Shah Rukh Khan
Saatwan Aasman,Drama,Mahesh Bhatt,Vivek Mushran,Pooja Bhatt,Avtar Gill
Saavi: A Bonded Bride,Drama,Rajeev Kumar,Jaspinder Cheema,Manni Boparai,Daljinder Basran
Saawan... The Love Season,"Drama, Fantasy, Romance",Saawan Kumar Tak,Salman Khan,Saloni Aswani,Kapil Jhaveri
Saawariya,"Drama, Musical, Romance",Sanjay Leela Bhansali,Ranbir Kapoor,Sonam Kapoor,Salman Khan
Saaya,,Shriram,Chitra,Helen,Nasir Khan
Saaya,Horror,Keshu Ramsay,Shatrughan Sinha,Poonam Dhillon,Danny Denzongpa
Saaya,"Drama, Fantasy, Mystery",Anurag Basu,John Abraham,Tara Sharma,Mahima Chaudhry
Saaya Kaali Raat Mein,Action,Mahmood Khan,Rani Sinha,Rajesh Tiwari,Sainora
Saaz,Drama,,,,
Saaz Aur Awaaz,"Drama, Mystery, Romance",Subodh Mukherji,Joy Mukherjee,Saira Banu,Mumtaz Begum
Saaz Aur Sanam,Romance,J.B.H. Wadia,Premendra,Rekha,Suresh Chatwal
Saazish,Action,Rajkumar Kohli,Raaj Kumar,Mithun Chakraborty,Dimple Kapadia
Saazish,"Action, Crime, Thriller",Kalidas,Saira Banu,Dharmendra,Dev Kumar
Saazish,Drama,Sudhir R. Nair,Ishrat Ali,Pooja Batra,Vikas Bhalla
Sab Ka Ustad,Action,R. Thakur,Sheikh Mukhtar,Kumkum,Sujit Kumar
Sab Kuch Hai Kuch Bhi Nahin,Drama,Abhik Bhanu,Brian Dawson,Vikram Gokhale,Puja Gupta
Sab Kushal Mangal,Romance,Karan Vishwanath Kashyap,Akshaye Khanna,Priyaank Sharma,Riva Kishan
Sab Se Badi Adalat,Drama,Surinder Suri,Vijayendra Ghatge,Simple Kapadia,Bharat Kapoor
Sabaash Naidu,"Action, Comedy",Kamal Haasan,Shruti Haasan,Kamal Haasan,B.J. Britt
Sabak,Drama,Jugal Kishore,Poonam Sinha,K.N. Singh,Ramesh Deo
Sabak,,M. Sadiq,Cuckoo,Karan Dewan,Gajanan Jagirdar
Sabar,Drama,V Devendra Naidu,Bharat Bhushan,Birbal,Chhaya Mahajan
Sabki Bajegi Band,"Comedy, Drama",Anirudh Chawla,Swara Bhaskar,Shaurya Chauhan,Jhanvi Desai
Saboot,"Mystery, Thriller",Shyam Ramsay,Tulsi Ramsay,Navin Nischol,Vidya Sinha
Saboot Mangta Hain Kanoon,"Action, Drama",Suraj Prakash,Raj Babbar,Anita Raj,Shashi Kapoor
Sabrang,Drama,Bharti Niranjan,Sonia Albizuri,Ekaansh Bhaardwaaj,Jeet Raidutt
Sabse Bada Be-Imaan,Action,Imran Khalid,Arjun,Manek Bedi,Laxmikant Berde
Sabse Bada Joker,Drama,Dileep,Manya,Nishanth Sagar,
Sabse Bada Khiladi,"Action, Crime, Thriller",Umesh Mehra,Akshay Kumar,Mamta Kulkarni,Mohnish Bahl
Sabse Bada Paap,Drama,,,,
Sabse Bada Rupaiya,,P.L. Santoshi,Shashikala,Agha,Sunder
Sabse Bada Rupaiya,Comedy,S. Ramanathan,Mehmood,Vinod Mehra,Moushumi Chatterjee
Sabse Bada Sukh,"Comedy, Drama",Hrishikesh Mukherjee,Vijay Arora,Asrani,Rajni Bala
Sabse Badhkar Hum,Action,K. Ravi Shankar,Manek Bedi,Mithun Chakraborty,Gajendra Chauhan
Sabse Badi Ganga Ki Saugandh,Action,K.I. Sheikh,Hemant Birje,Dharmendra,Gautam
Sabuj Dwiper Raja,"Adventure, Drama, Family",Tapan Sinha,Samit Bhanja,Arunava Adhikari,Lily Chakravarty
Sabz Baag,,Chand Burke,Suraiya Chowdhary,Kamal Kapoor,Nimmi
Sach,Drama,Vinod Pande,Anuradha Sawant,Vinod Pande,Hashmat Khan
Sach Hai,,R.S. Choudhury,Motilal,Rose,Shakir
Sachaa Jhutha,"Action, Comedy, Thriller",Manmohan Desai,Rajesh Khanna,Mumtaz,Vinod Khanna
Sachaai,"Drama, Comedy, Action",K. Shankar,Shammi Kapoor,Sadhana,Sanjeev Kumar
Sachai Ki Taqat,"Action, Drama",Rama Rao Tatineni,Bob Christo,Dharmendra,Govinda
Sachcha Pyaar,,Niranjan,Manorama,,
Sachcha Pyar,Romance,Poornachandra Rao Atluri,,,
Sachcha Sapna,,K. Narayan Kale,,,
Sachche Ka Bol Bala,"Adventure, Drama",Master Bhagwan,Master Bhagwan,Chandrashekhar,Shyam Kumar
Sachche Ka Bol-Bala,"Action, Adventure",Dev Anand,Dev Anand,Jackie Shroff,Meenakshi Sheshadri
Sachche Moti,Drama,Madhu Apte,Helen,Jeevan,Manmohan Krishna
Sachin - A Billion Dreams,"Documentary, Sport",James Erskine,Sachin Tendulkar,Mikhail Gandhi,Anjali Tendulkar
Sachin: The Ultimate Winner,Adventure,Dweep Raj Kochhar,Ved Thappar,Dhruv Raj,Shivani Sharma
Sacramento River,Thriller,Alexandro Garcia,Parminder Kalra,Sukhwant Dhadda,Luis Varela
Sacred Evil,Drama,Abhigyan Jha,Abhiyan Rajhans,Sarika,Lynsey Pow
Sadaa Suhagan,Drama,Rama Rao Tatineni,Jeetendra,Rekha,Govinda
Sadak,"Action, Drama, Romance",Mahesh Bhatt,Sanjay Dutt,Pooja Bhatt,Deepak Tijori
Sadak 2,"Action, Drama",Mahesh Bhatt,Alia Bhatt,Priyanka Bose,Sanjay Dutt
Sadak Chhap,"Crime, Drama",Anil Ganguly,Jackie Shroff,Padmini Kolhapure,Richa Sharma
Sadda Adda,"Comedy, Drama, Romance",Muazzam Beg,Karan Sharma,Karanvir Sharma,Shaurya Chauhan
Sadhana,,V.C. Desai,M. Thakore,Shobhna Samarth,Bibbo
Sadhna,Drama,B.R. Chopra,Vyjayanthimala,Sunil Dutt,Radhakrishan
Sadhna,Drama,K. Ravi Shankar,Raj Babbar,Krishan Dhawan,Mangal Dhillon
Sadho,Drama,Danish Iqbal,,,
Sadhu,"Documentary, Adventure, Music",Gaël Métroz,Suraj Baba,,
Sadhu Aur Shaitaan,"Comedy, Thriller",A. Bhimsingh,Mehmood,Bharathi,Kishore Kumar
Sadhu Bana Shaitan,Thriller,Jaspal Neelam,Aman Sagar,Sainora,Shabnam
Sadhu Sant,Drama,Prakash Mehra,Amitabh Bachchan,Mithun Chakraborty,Hema Malini
Sadiyaan: Boundaries Divide... Love Unites,"Drama, Romance",Raj Kanwar,Rekha,Hema Malini,Javed Sheikh
Sadma,"Drama, Romance",Balu Mahendra,Kamal Haasan,Sridevi,Gulshan Grover
Sadma,Drama,,,,
Sadma,Drama,Bn Rao,,,
Sadqa Kamli Wale Ka,Drama,A. Shamsheer,Shakti Kapoor,Satish Kaul,Kader Khan
Safaibaaz - The Scavenger,"Drama, Family",Avneesh Singh,Rajpal Yadav,Johnny Lever,Manpreet Dolly
Safar,"Drama, Romance",Asit Sen,Rajesh Khanna,Sharmila Tagore,Feroz Khan
Safar,,Bibhuti Mitra,,,
Safari,"Action, Adventure, Romance",Jyotin Goel,Sanjay Dutt,Juhi Chawla,Tanuja
Safed Haathi,"Adventure, Drama, Family",Tapan Sinha,Vijay Arora,Ashwani,Utpal Dutt
Safed Jhoot,"Comedy, Drama, Family",Basu Chatterjee,Ashok Kumar,Vinod Mehra,Mithu Mukherjee
Sagaai,"Drama, Action, Family",S.D. Narang,Rajshree,Biswajit Chatterjee,Rehman
Sagai,Drama,Harnam Singh Rawail,Prem Nath,Rehana,Hiralal
Sagar Sangam,Drama,Dulal Guha,Mithun Chakraborty,Shatrughan Sinha,Padmini Kolhapure
Sagina,"Comedy, Drama, Family",Tapan Sinha,Dilip Kumar,Saira Banu,Aparna Sen
Sahara,,Jagatrai Pesumal Advani,Renuka Devi,Narang,Pran
Sahara,"Drama, Family",Lekhraj Bhakri,Meena Kumari,M. Rajan,Kuldip Kaur
Sahara,Drama,Satish Rai,Zaira Begg,Ashfaaq Khan,Anji Naidu-Khan
Sahasa Veerudu Sagara Kanya,"Action, Adventure, Fantasy",K. Raghavendra Rao,Venkatesh Daggubati,Shilpa Shetty Kundra,Malasri
Sahasam,"Action, Adventure",Chandra Sekhar Yeleti,Tottempudi Gopichand,Taapsee Pannu,Shakti Kapoor
Sahavari,Documentary,Clement Baptista,,,
Saheb Biwi Aur Gangster,"Action, Crime, Drama",Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Randeep Hooda
Saheb Biwi Aur Gangster 3,"Action, Crime, Drama",Tigmanshu Dhulia,Sanjay Dutt,Jimmy Sheirgill,Mahie Gill
Saheb Biwi Aur Gangster Returns,"Action, Crime, Drama",Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Irrfan Khan
Sahebzaade,"Action, Drama, Romance",Ajay Kashyap,Sanjay Dutt,Neelam Kothari,Aditya Pancholi
Saheli,Romance,Arjun Hingorani,Pradeep Kumar,Vijaya Choudhury,Rajendranath Malhotra
Sahhas,Action,Ravikant Nagaich,Mithun Chakraborty,Rati Agnihotri,Madan Puri
Sahi Dhandhe Galat Bande,"Action, Comedy, Drama",Parvin Dabas,Anupam Kher,Sharat Saxena,Udit Khurana
Sahib Bahadur,Comedy,Chetan Anand,Dev Anand,Priya Rajvansh,Ajit
Sahib Bibi Aur Ghulam,"Drama, Musical",Abrar Alvi,Meena Kumari,Guru Dutt,Rehman
Sahibaan,"Romance, Drama",Ramesh Talwar,Rishi Kapoor,Sanjay Dutt,Madhuri Dixit
Sahil,Mystery,Amar,Chitra,Jankidas,Shammi Kapoor
Sai Mahima,,Sukhvinder Sharma,Jitendra Sharma,Amrinder Singh,
Sai Teri Maya,Drama,S.P. Balasubrahmanyam,Nagma,Rami Reddy,
Sai V/S I,,Aanuj Tewari,Ankur Malhotra,Mukteshwara Ojha,Pooja Baksh
Said-e-Havas,,Sohrab Modi,,,
Sailaab,"Drama, Family",Guru Dutt,Ram Singh,Geeta Bali,Smriti Biswas
Sailaab,"Drama, Romance",Deepak Balraj Vij,Aditya Pancholi,Madhuri Dixit,Shafi Inamdar
Sailing Through Life,Drama,Nikhil Agnihotri,Monika Panwar,Palvi Jaswal,Rumana Molla
Saina,"Biography, Drama, Sport",Amole Gupte,Mukesh Agrohari,Olga Anand,Rohan Apte
Sainik,"Action, Drama, Romance",Sikander Bharti,Akshay Kumar,Ashwini Bhave,Farheen
Sainika,"Action, Drama",K. Mahesh Sukhadhare,Doddanna,Nataraj Enigi,Raj Gupta
